,FoV,Horizontal optimal,Vertical optimal,maxVal,maxVal_t,maxVal_r,best pos
0,20,11.421186274999286,5.607248423562337,0.08954973495395285,0.0,0.08954973495395285,"(1.0, 0.1, -0.04897156535055913)"
1,40,33.39848846798725,5.607248423562337,0.09709182085714933,0.0,0.09709182085714933,"(1.0, 0.30000000000000004, -0.04897156535055913)"
2,60,53.13010235415598,5.607248423562337,0.11342628882009335,0.0,0.11342628882009335,"(1.0, 0.5, -0.04897156535055913)"
3,80,77.31961650818019,5.607248423562337,0.15725600872607257,0.0,0.15725600872607257,"(1.0, 0.8, -0.04897156535055913)"
4,100,99.52728338145236,15.425138435133142,0.22667014920264883,0.0,0.22667014920264883,"(1.1, 1.3, -0.14897156535055878)"
5,120,119.06891016108025,16.946257212218086,0.43762358277765895,0.0,0.43762358277765895,"(1.0, 1.7000000000000002, -0.14897156535055878)"
6,140,139.35372634067414,16.946257212218086,1.0001665555775292,0.0,1.0001665555775292,"(1.0, 2.7, -0.14897156535055878)"
