,x,y,u_original,v_original,u_new,v_new,uDot,vDot
0,4.100000000000003,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1,4.100000000000003,0.1,0.002164646388377335,-0.002164646388377335,0.0026926089221279044,-0.0026926089221279044,0.0005279625337505691,-0.0005279625337505691
2,4.100000000000003,0.2,0.00432929277675467,-0.00432929277675467,0.005385217844255809,-0.005385217844255809,0.0010559250675011382,-0.0010559250675011382
3,4.100000000000003,0.30000000000000004,0.006493939165132005,-0.006493939165132005,0.008077826766383713,-0.008077826766383713,0.0015838876012517072,-0.0015838876012517072
4,4.100000000000003,0.4,0.00865858555350934,-0.00865858555350934,0.010770435688511618,-0.010770435688511618,0.0021118501350022765,-0.0021118501350022765
5,4.100000000000003,0.5,0.010823231941886674,-0.010823231941886674,0.013463044610639519,-0.013463044610639519,0.0026398126687528453,-0.0026398126687528453
6,4.100000000000003,0.6000000000000001,0.01298787833026401,-0.01298787833026401,0.016155653532767426,-0.016155653532767426,0.0031677752025034145,-0.0031677752025034145
7,4.100000000000003,0.7000000000000001,0.015152524718641345,-0.015152524718641345,0.018848262454895327,-0.018848262454895327,0.0036957377362539837,-0.0036957377362539837
8,4.100000000000003,0.8,0.01731717110701868,-0.01731717110701868,0.021540871377023235,-0.021540871377023235,0.004223700270004553,-0.004223700270004553
9,4.100000000000003,0.9,0.019481817495396014,-0.019481817495396014,0.024233480299151136,-0.024233480299151136,0.004751662803755122,-0.004751662803755122
10,4.100000000000003,1.0,0.021646463883773347,-0.021646463883773347,0.026926089221279037,-0.026926089221279037,0.0052796253375056905,-0.0052796253375056905
11,4.100000000000003,1.1,0.023811110272150684,-0.023811110272150684,0.029618698143406945,-0.029618698143406945,0.00580758787125626,-0.00580758787125626
12,4.100000000000003,1.2000000000000002,0.02597575666052802,-0.02597575666052802,0.03231130706553485,-0.03231130706553485,0.006335550405006829,-0.006335550405006829
13,4.100000000000003,1.3,0.028140403048905353,-0.028140403048905353,0.035003915987662754,-0.035003915987662754,0.006863512938757398,-0.006863512938757398
14,4.100000000000003,1.4000000000000001,0.03030504943728269,-0.03030504943728269,0.037696524909790655,-0.037696524909790655,0.007391475472507967,-0.007391475472507967
15,4.200000000000003,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
16,4.200000000000003,0.1,0.0021131071886540654,-0.0021131071886540654,0.0026162279478574137,-0.0026162279478574137,0.0005031207592033485,-0.0005031207592033485
17,4.200000000000003,0.2,0.004226214377308131,-0.004226214377308131,0.005232455895714827,-0.005232455895714827,0.001006241518406697,-0.001006241518406697
18,4.200000000000003,0.30000000000000004,0.006339321565962197,-0.006339321565962197,0.007848683843572242,-0.007848683843572242,0.0015093622776100458,-0.0015093622776100458
19,4.200000000000003,0.4,0.008452428754616262,-0.008452428754616262,0.010464911791429655,-0.010464911791429655,0.002012483036813394,-0.002012483036813394
20,4.200000000000003,0.5,0.010565535943270326,-0.010565535943270326,0.013081139739287068,-0.013081139739287068,0.0025156037960167425,-0.0025156037960167425
21,4.200000000000003,0.6000000000000001,0.012678643131924393,-0.012678643131924393,0.015697367687144484,-0.015697367687144484,0.0030187245552200917,-0.0030187245552200917
22,4.200000000000003,0.7000000000000001,0.014791750320578457,-0.014791750320578457,0.018313595635001897,-0.018313595635001897,0.00352184531442344,-0.00352184531442344
23,4.200000000000003,0.8,0.016904857509232523,-0.016904857509232523,0.02092982358285931,-0.02092982358285931,0.004024966073626788,-0.004024966073626788
24,4.200000000000003,0.9,0.019017964697886587,-0.019017964697886587,0.023546051530716726,-0.023546051530716726,0.004528086832830137,-0.004528086832830137
25,4.200000000000003,1.0,0.02113107188654065,-0.02113107188654065,0.026162279478574135,-0.026162279478574135,0.005031207592033485,-0.005031207592033485
26,4.200000000000003,1.1,0.02324417907519472,-0.02324417907519472,0.02877850742643155,-0.02877850742643155,0.005534328351236834,-0.005534328351236834
27,4.200000000000003,1.2000000000000002,0.025357286263848786,-0.025357286263848786,0.03139473537428897,-0.03139473537428897,0.006037449110440183,-0.006037449110440183
28,4.200000000000003,1.3,0.027470393452502847,-0.027470393452502847,0.03401096332214638,-0.03401096332214638,0.00654056986964353,-0.00654056986964353
29,4.200000000000003,1.4000000000000001,0.029583500641156914,-0.029583500641156914,0.036627191270003794,-0.036627191270003794,0.00704369062884688,-0.00704369062884688
30,4.200000000000003,1.5,0.03169660782981098,-0.03169660782981098,0.0392434192178612,-0.0392434192178612,0.007546811388050228,-0.007546811388050228
31,4.3000000000000025,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
32,4.3000000000000025,0.1,0.0020639651610109477,-0.0020639651610109477,0.00254395705892047,-0.00254395705892047,0.00047999189790952243,-0.00047999189790952243
33,4.3000000000000025,0.2,0.004127930322021895,-0.004127930322021895,0.00508791411784094,-0.00508791411784094,0.0009599837958190449,-0.0009599837958190449
34,4.3000000000000025,0.30000000000000004,0.006191895483032844,-0.006191895483032844,0.007631871176761411,-0.007631871176761411,0.0014399756937285675,-0.0014399756937285675
35,4.3000000000000025,0.4,0.00825586064404379,-0.00825586064404379,0.01017582823568188,-0.01017582823568188,0.0019199675916380897,-0.0019199675916380897
36,4.3000000000000025,0.5,0.010319825805054738,-0.010319825805054738,0.01271978529460235,-0.01271978529460235,0.002399959489547612,-0.002399959489547612
37,4.3000000000000025,0.6000000000000001,0.012383790966065688,-0.012383790966065688,0.015263742353522822,-0.015263742353522822,0.002879951387457135,-0.002879951387457135
