,FoV,Horizontal optimal,Vertical optimal,maxVal,maxVal_t,maxVal_r,best pos
0,20,18.924644416051233,100.73868577359453,0.017432244928832198,0.017432244928832198,0.0,"(1.2000000000000002, 0.2, -1.4489715653505542)"
1,40,39.96621304379996,101.60991594848328,0.04149162429341879,0.04149162429341879,0.0,"(1.1, 0.4, -1.3489715653505545)"
2,60,53.13010235415598,97.93105764310866,0.06275608174379592,0.06275608174379592,0.0,"(1.0, 0.5, -1.1489715653505552)"
3,80,77.31961650818019,97.93105764310866,0.1004097307900735,0.1004097307900735,0.0,"(1.0, 0.8, -1.1489715653505552)"
4,100,95.45262198781253,97.93105764310866,0.13806337983635106,0.13806337983635106,0.0,"(1.0, 1.1, -1.1489715653505552)"
5,120,119.06891016108025,97.93105764310866,0.21337067792890618,0.21337067792890618,0.0,"(1.0, 1.7000000000000002, -1.1489715653505552)"
6,140,139.35372634067414,97.93105764310866,0.33888284141649805,0.33888284141649805,0.0,"(1.0, 2.7, -1.1489715653505552)"
